,sentence,label
0, de da [//] danseres met een gieter. ,1
1, de gieter &eh vult ze vol (.) met water. ,1
2, en [/] en dan [/] dan ga(at) [/] gaat ze de bloemetjes water geven. ,1
3, <en dan komt ze een> [/] &eh dan komt ze een dokter tegen. ,1
4, en dan plukt de dokter een van [/] van haar bloemen. ,1
5, en het meisje ziet &ehm dat. ,1
6, en de dokter geeft (he)m aan het meisje. ,1
7, dan doet meisje in (he)m <in heu> [//] in haar haar. ,1
8, (ee)n piraat met een bal. ,1
9, loopt op straat. ,1
10, o nee loopt o(ver) [/] over de &eh [/] de &eh [/] de dinges over ,1
11, het strand. ,1
12, dan schiet ie [ hij] de bal. ,1
13, die schiet ie [ hij] in het water. ,1
14, <dan gaat ie [ hij]> [/] dan gaat ie [ hij] huilen. ,1
15, dan komt ie [ hij] <een ri(dder)> [/] een ridder tegen. ,1
16, omdat [/] omdat de bal in het water ligt. ,1
17, dan [/] dan heeft de ridder (.) heeft dan een vangnet waar die de ,1
18, bal mee uit kan doen. ,1
19, en dan doet ie [ hij] (he)m [///] dan gaat ie [ hij] (he)m eruit ,1
20, halen. ,1
21, en dan i(s) [/] is de piraat weer blij met z(ij)n bal. ,1
22, de koningin die [/] die komt bij de ijsco (.) kraampje. ,1
23, en ze koopt een ijsco. ,1
24, en die <neemt ze> [/] neemt ze mee. ,1
25, en daar likt ze n keer vanaf. ,1
26, dan komt ze een heks tegen. ,1
27, en da(n) [/] dan geeft die koningin geeft het ijsje aan de heks. ,1
28, <en dan> [/] <en dan> [/] en dan gaat de heks drvan [ ervan] ,1
29, smullen. ,1
30, dan <ko> [//] koopt &eh de koningin een nieuw ijsje voor haarzelf. ,1
31, de indiaan komt bij een boom. ,1
32, dan plu [///] dan [/] dan [//] nee da [///] &eh hij komt bij een ,1
33, appelboom. ,1
34, en dan plukt ie [ hij] een appel. ,1
35, dan [/] dan [/] dan valt hij uit de boom. ,1
36, dan komt [/] komt er een cowboy aan. ,1
37, en [/] en &eh die heeft een ladder. ,1
38, en plukt appel. ,1
39, en dan geeft [/] geeft de cowboy (he)m aan de indiaan. ,1
40, die appel. ,1
41, en is de indiaan weer blij. ,1
42, er is een indiaan die een appel ziet. ,1
43, hij kan net niet bij de appel. ,1
44, er komt een [///] hij valt uit de boom. ,1
45, er komt de cowboy met een ladder. ,1
46, de &eh cowboy zet z(ij)n ladder neer. ,1
47, en die cowboy pakt de appel voor de indiaan. ,1
48, de cowboy geeft (he)m aan de indiaan. ,1
49, de indiaan eet (he)m op. ,1
50, er is een prinsesje. ,1
